description;code;price;category;id
rukv-desc;PRD-ZBQ;1014.92;U;1
fnsz-desc;PRD-ELL;1126.87;K;2
ddgw-desc;PRD-JSJ;1031.53;I;3
wmdn-desc;PRD-PIP;970.31;I;4
ovpo-desc;PRD-JHT;809.07;I;5
humx-desc;PRD-GZW;886.79;H;6
rmfb-desc;PRD-LXH;1049.97;E;7
swsg-desc;PRD-XNY;386.28;B;8
yrgs-desc;PRD-ECW;744.53;C;9
kzvt-desc;PRD-NDK;830.59;T;10
ijqe-desc;PRD-DNW;679.89;I;11
vqwu-desc;PRD-YTB;557.00;W;12
lnat-desc;PRD-DCF;887.62;D;13
buft-desc;PRD-CXY;1105.65;Y;14
rxnp-desc;PRD-LZM;723.59;J;15
dhsz-desc;PRD-JQM;1038.63;I;16
xdgz-desc;PRD-KVA;497.95;I;17
nmrg-desc;PRD-UJS;853.13;Z;18
qmds-desc;PRD-SEO;238.24;N;19
nxie-desc;PRD-RLA;788.62;Z;20
aezl-desc;PRD-OMS;214.92;X;21
ggaw-desc;PRD-OUR;1013.37;H;22
rnra-desc;PRD-PTN;1114.31;A;23
fcmd-desc;PRD-AAQ;365.13;N;24
udsc-desc;PRD-VCK;178.72;E;25
nmmn-desc;PRD-FFB;899.65;Q;26
qzia-desc;PRD-FCY;608.00;O;27
inwf-desc;PRD-IAQ;367.24;U;28
frbo-desc;PRD-NNM;1031.81;K;29
jhuq-desc;PRD-AOQ;1057.64;H;30
ryyr-desc;PRD-ZDZ;809.50;M;31
rxag-desc;PRD-GYK;407.16;Z;32
zjzn-desc;PRD-SFU;325.52;O;33
pcdl-desc;PRD-XAH;295.97;F;34
mjbh-desc;PRD-CTE;748.03;E;35
xupc-desc;PRD-DAH;1039.49;J;36
pjbi-desc;PRD-SYG;967.35;Z;37
xmyw-desc;PRD-VMZ;923.04;Z;38
epmz-desc;PRD-PRT;585.97;L;39
efuc-desc;PRD-ZWQ;487.81;U;40
mqkt-desc;PRD-BMV;985.67;F;41
caot-desc;PRD-VDP;155.46;H;42
kbsh-desc;PRD-EAW;1136.42;Q;43
qyam-desc;PRD-ATV;704.81;F;44
vjur-desc;PRD-YZD;1061.67;F;45
sxub-desc;PRD-CSF;375.89;X;46
bskg-desc;PRD-KCH;752.14;O;47
jxik-desc;PRD-QWE;279.99;J;48
krhx-desc;PRD-OHZ;982.27;K;49
lpmg-desc;PRD-VCT;410.72;A;50
elja-desc;PRD-LTE;478.39;N;51
iyfs-desc;PRD-SLE;967.72;H;52
lkyn-desc;PRD-TVF;403.33;Q;53
djme-desc;PRD-FGX;272.83;B;54
bkly-desc;PRD-ZDI;238.34;S;55
geee-desc;PRD-DJU;1148.37;U;56
gdyb-desc;PRD-UDE;1078.83;O;57
vdab-desc;PRD-SIZ;870.23;J;58
gdic-desc;PRD-FEU;726.80;I;59
xywb-desc;PRD-XZZ;356.54;V;60
ralt-desc;PRD-ZDA;1009.76;M;61
qpnq-desc;PRD-QJR;1018.09;F;62
qexu-desc;PRD-IIM;626.60;Z;63
uoaz-desc;PRD-MSE;1113.13;I;64
gbtn-desc;PRD-REH;795.36;H;65
bqdk-desc;PRD-HPL;710.14;G;66
ecgz-desc;PRD-VOD;731.61;U;67
dwbd-desc;PRD-RTK;681.43;L;68
upuq-desc;PRD-HMK;829.92;G;69
rzho-desc;PRD-VUG;1004.73;S;70
zlkp-desc;PRD-AQY;561.39;S;71
hmsy-desc;PRD-XEC;1032.91;R;72
acjj-desc;PRD-XUP;879.76;O;73
xbal-desc;PRD-RDD;1061.28;R;74
ccca-desc;PRD-JDW;1084.72;Q;75
bdtf-desc;PRD-AHO;254.21;X;76
vksq-desc;PRD-FSU;997.94;B;77
xmlo-desc;PRD-STE;825.10;Z;78
mgzp-desc;PRD-WTO;232.65;A;79
bzhy-desc;PRD-HHI;854.74;T;80
qnhy-desc;PRD-OVD;688.45;V;81
lwwz-desc;PRD-CLZ;601.65;T;82
tscd-desc;PRD-EYJ;976.57;U;83
aomk-desc;PRD-CSW;942.82;M;84
qfxp-desc;PRD-YSJ;716.72;B;85
wdio-desc;PRD-RGN;285.37;T;86
xvfe-desc;PRD-QFX;872.59;K;87
xmsh-desc;PRD-HMJ;1028.60;W;88
fznu-desc;PRD-GAG;980.21;U;89
pimr-desc;PRD-YQD;314.50;Y;90
pclt-desc;PRD-VBO;1130.95;Y;91
vohw-desc;PRD-KHN;282.90;T;92
ldtm-desc;PRD-IAR;400.42;F;93
nkkl-desc;PRD-FWB;509.62;K;94
mkxy-desc;PRD-DBR;457.57;G;95
cjte-desc;PRD-GQD;434.20;T;96
dzsb-desc;PRD-JUT;876.98;E;97
tlbi-desc;PRD-HFC;822.14;P;98
qnmh-desc;PRD-GYW;1134.39;O;99
ndos-desc;PRD-OMX;1119.19;T;100
ycbv-desc;PRD-EZM;954.64;R;101
ipie-desc;PRD-UXN;668.43;Y;102
tlrj-desc;PRD-QHN;1056.61;G;103
vftn-desc;PRD-NXP;417.76;Y;104
trqz-desc;PRD-GPQ;995.70;F;105
blpn-desc;PRD-ZJZ;955.60;L;106
livc-desc;PRD-VXC;726.55;T;107
kznx-desc;PRD-IPE;499.53;Y;108
djrb-desc;PRD-GCT;323.32;R;109
kboo-desc;PRD-EQD;1117.26;U;110
ibve-desc;PRD-NUF;517.82;S;111
qybs-desc;PRD-REL;786.30;F;112
hhfx-desc;PRD-WSF;1004.97;V;113
wfac-desc;PRD-BNU;470.48;X;114
wilm-desc;PRD-TYD;868.02;N;115
pfij-desc;PRD-YIY;793.96;L;116
gfzg-desc;PRD-ACJ;681.16;S;117
likw-desc;PRD-XTD;979.67;B;118
bcai-desc;PRD-VHU;434.10;C;119
dpvx-desc;PRD-ROO;857.18;V;120
yzeb-desc;PRD-PUA;1110.49;D;121
oied-desc;PRD-OLB;1068.85;L;122
njnd-desc;PRD-XRV;651.91;S;123
mtmj-desc;PRD-CMS;261.58;J;124
zngm-desc;PRD-WSX;900.58;U;125
dgnf-desc;PRD-XBX;460.54;G;126
zsbk-desc;PRD-WGC;579.76;G;127
jhbn-desc;PRD-JZX;910.59;X;128
rrxo-desc;PRD-LGE;223.17;A;129
moxw-desc;PRD-NHX;1137.68;Y;130
mnrx-desc;PRD-LVI;375.71;G;131
geuu-desc;PRD-VDW;538.03;M;132
dgsl-desc;PRD-CMP;171.97;X;133
ffcc-desc;PRD-DFO;424.63;M;134
xozt-desc;PRD-XYO;259.19;G;135
eiia-desc;PRD-VCC;642.50;V;136
hlwy-desc;PRD-HIL;813.87;T;137
vhwj-desc;PRD-NHC;863.65;A;138
nisq-desc;PRD-IHH;339.71;V;139
pghy-desc;PRD-PJZ;765.91;D;140
omce-desc;PRD-IJA;906.32;R;141
wzoj-desc;PRD-JSH;1025.33;G;142
jabm-desc;PRD-YNW;259.14;O;143
bxko-desc;PRD-NRJ;465.91;U;144
kolb-desc;PRD-DOU;708.57;U;145
vghq-desc;PRD-CZP;634.72;B;146
docz-desc;PRD-MJO;188.46;P;147
vgjh-desc;PRD-QEA;341.16;O;148
abku-desc;PRD-YAL;298.98;A;149
fkmm-desc;PRD-LAB;419.01;K;150
avwd-desc;PRD-CHT;346.03;M;151
htzj-desc;PRD-PDO;757.86;F;152
nben-desc;PRD-DCE;327.99;W;153
efml-desc;PRD-NIJ;888.59;W;154
shap-desc;PRD-BNT;861.73;F;155
azrl-desc;PRD-FZQ;497.75;V;156
lyha-desc;PRD-PZX;183.56;B;157
wzvi-desc;PRD-TQG;850.05;R;158
nimf-desc;PRD-SIF;499.56;L;159
sstx-desc;PRD-FIM;400.04;S;160
crgc-desc;PRD-QTX;1125.45;B;161
fvhf-desc;PRD-QVO;817.99;M;162
erwm-desc;PRD-YYL;471.24;X;163
qfdt-desc;PRD-ULI;203.56;Z;164
odds-desc;PRD-ESG;1054.79;C;165
brva-desc;PRD-ANC;641.63;L;166
udxc-desc;PRD-LAD;324.20;V;167
hsck-desc;PRD-HIE;210.58;Q;168
tcrd-desc;PRD-JMF;227.02;A;169
nszh-desc;PRD-AWW;593.32;S;170
eydi-desc;PRD-GEB;669.65;F;171
wazs-desc;PRD-CZU;1089.92;E;172
ated-desc;PRD-LMP;389.36;G;173
jfjt-desc;PRD-AFO;877.54;Z;174
eogh-desc;PRD-KPH;329.82;W;175
ybxi-desc;PRD-UZU;1114.56;N;176
flnm-desc;PRD-TWG;527.70;Z;177
svmg-desc;PRD-IOH;1012.43;B;178
ziim-desc;PRD-HHR;328.26;F;179
qjgd-desc;PRD-KGG;387.65;W;180
vfsv-desc;PRD-LON;643.51;V;181
qnfb-desc;PRD-JUQ;810.12;E;182
noqo-desc;PRD-AFI;1022.99;Z;183
whql-desc;PRD-ASK;151.14;T;184
zdfi-desc;PRD-VOT;747.69;Q;185
ahoi-desc;PRD-ZYR;737.97;I;186
vlzd-desc;PRD-TWZ;589.67;Q;187
zgoc-desc;PRD-NPM;1092.09;R;188
natj-desc;PRD-FGF;556.39;U;189
cmqs-desc;PRD-LLB;279.50;D;190
ndhw-desc;PRD-GHF;1000.20;E;191
awaz-desc;PRD-RCT;664.77;S;192
zcgv-desc;PRD-JZT;202.59;F;193
arnj-desc;PRD-HLO;532.31;F;194
bnbn-desc;PRD-CKZ;612.05;S;195
mqhf-desc;PRD-XMH;829.92;V;196
tmwl-desc;PRD-VIX;638.04;D;197
dftn-desc;PRD-MAJ;679.25;S;198
cwwr-desc;PRD-UPC;484.62;I;199
ppap-desc;PRD-SEH;278.18;V;200
rbrm-desc;PRD-CUG;291.33;S;201
zkoa-desc;PRD-QPB;150.25;G;202
hcea-desc;PRD-HRB;571.10;N;203
qgxu-desc;PRD-AUO;150.29;U;204
nqir-desc;PRD-JNG;970.90;E;205
akre-desc;PRD-NOO;253.69;H;206
skqk-desc;PRD-LYN;997.60;A;207
knvi-desc;PRD-XVC;494.89;C;208
omey-desc;PRD-BCD;956.00;C;209
gldv-desc;PRD-RXI;799.68;G;210
siyf-desc;PRD-YAE;736.48;B;211
khbh-desc;PRD-JBR;213.02;H;212
efjm-desc;PRD-EWX;703.76;U;213
ppzv-desc;PRD-OOT;761.89;G;214
ddfz-desc;PRD-DWY;1106.39;A;215
vlrp-desc;PRD-EXR;1028.75;X;216
pjnx-desc;PRD-MYR;617.20;P;217
bugu-desc;PRD-EYA;330.26;J;218
mvmv-desc;PRD-VKQ;688.80;G;219
kdul-desc;PRD-TZF;1096.51;D;220
uwog-desc;PRD-GKN;867.07;M;221
wbjn-desc;PRD-TSM;793.69;I;222
hiwa-desc;PRD-QZA;439.62;R;223
utkp-desc;PRD-NBO;208.33;E;224
twce-desc;PRD-EJK;339.00;G;225
alcd-desc;PRD-BEZ;560.44;L;226
tyno-desc;PRD-LVN;993.73;C;227
quqf-desc;PRD-SFT;197.93;E;228
wygh-desc;PRD-ZZC;388.52;J;229
nfku-desc;PRD-UEY;272.66;D;230
zank-desc;PRD-LGE;411.66;M;231
lswc-desc;PRD-VYK;1053.66;O;232
rglx-desc;PRD-QYK;227.35;K;233
zipp-desc;PRD-MNM;402.84;B;234
zybg-desc;PRD-RVW;899.62;A;235
pxnx-desc;PRD-AXE;448.51;E;236
aqwo-desc;PRD-SYL;437.77;U;237
tgxb-desc;PRD-SZB;931.42;C;238
ihiu-desc;PRD-GJA;347.57;R;239
vyey-desc;PRD-EGM;873.13;T;240
fqpq-desc;PRD-OTT;315.83;O;241
oewl-desc;PRD-WTP;698.14;C;242
gxyq-desc;PRD-BBX;875.04;L;243
rwjp-desc;PRD-ROH;316.37;D;244
mylo-desc;PRD-ZVN;479.21;E;245
upnp-desc;PRD-ZIW;794.21;J;246
ebyv-desc;PRD-BWB;949.83;T;247
chub-desc;PRD-QQT;478.03;D;248
laca-desc;PRD-CFF;442.74;D;249
lrzc-desc;PRD-VZS;917.75;X;250
yzsr-desc;PRD-IQM;1052.60;L;251
zmxy-desc;PRD-JMJ;819.76;V;252
nclw-desc;PRD-LUX;661.78;V;253
uqee-desc;PRD-YUG;952.18;T;254
vmhv-desc;PRD-SOP;298.33;F;255
febq-desc;PRD-ZDZ;362.58;Z;256
cqjn-desc;PRD-YGF;873.30;X;257
splw-desc;PRD-ZUV;1145.32;N;258
lbnn-desc;PRD-SPV;895.51;H;259
wfoo-desc;PRD-LKK;1023.26;K;260
pneb-desc;PRD-NAL;424.57;O;261
sdbp-desc;PRD-YIR;166.17;Q;262
udke-desc;PRD-HZM;825.12;M;263
sebf-desc;PRD-PMN;446.95;B;264
brgo-desc;PRD-XGV;670.95;Q;265
hwri-desc;PRD-OLU;997.29;H;266
fypi-desc;PRD-KGO;653.24;X;267
cylj-desc;PRD-IDK;739.54;T;268
sqev-desc;PRD-QGR;447.33;X;269
nzei-desc;PRD-FIJ;1082.50;O;270
pdcn-desc;PRD-YBX;955.12;U;271
fcvr-desc;PRD-LKD;230.98;R;272
wsyy-desc;PRD-NPX;1071.66;K;273
nrnj-desc;PRD-XHV;392.62;B;274
jryf-desc;PRD-TTZ;422.74;D;275
bcwy-desc;PRD-DXV;409.47;X;276
zhva-desc;PRD-MLD;324.52;B;277
lfiy-desc;PRD-RNZ;1096.73;H;278
yzif-desc;PRD-BPR;354.38;T;279
eeon-desc;PRD-OVC;456.34;D;280
gfhb-desc;PRD-KFV;365.11;O;281
myjx-desc;PRD-NKB;331.81;V;282
ribs-desc;PRD-JEL;881.55;S;283
qxkz-desc;PRD-PEI;383.16;M;284
hxju-desc;PRD-HJF;592.11;L;285
lpkl-desc;PRD-UGG;150.54;T;286
gqfc-desc;PRD-OEL;977.24;L;287
hddg-desc;PRD-NQN;624.57;E;288
zogd-desc;PRD-RJY;1036.73;D;289
kxsu-desc;PRD-VGN;1095.50;W;290
ucwi-desc;PRD-ULL;1009.34;W;291
tuhm-desc;PRD-IVH;1074.58;C;292
tlom-desc;PRD-ZGF;985.81;C;293
jxip-desc;PRD-RPX;996.97;D;294
opnx-desc;PRD-DUV;353.72;P;295
nzns-desc;PRD-OLW;968.95;C;296
