CITY,STATE,POSTALCODE
ABBEVILLE,AL,36310
ABBEVILLE,LA,70510
ABBEVILLE,MS,38601
ABBOT,ME,4406
ABBOTT,TX,76621
ABBYVILLE,KS,67510
ABERCROMBIE,ND,58001
ABERDEEN,KY,42201
ABERDEEN,MS,39730
ABERDEEN,OH,45101
ABERDEEN,SD,57402
ABERDEEN PROVING GROUND,MD,21005
ABERNATHY,TX,79311
ABILENE,KS,67410
ABILENE,TX,79602
ABILENE,TX,79604
ABILENE,TX,79606
ABILENE,TX,79697
ABILENE,TX,79699
ABINGDON,MD,21009
ABINGDON,VA,24211
ABINGTON,CT,6230
ABINGTON,PA,19001
ABITA SPRINGS,LA,70420
ABSARAKA,ND,58002
ABSECON,NJ,8201
ACAMPO,CA,95220
ACCOKEEK,MD,20607
ACCORD,MA,2018
ACCOVILLE,WV,25606
ACHILLE,OK,74720
ACKERLY,TX,79713
ACKERMANVILLE,PA,18010
ACKWORTH,IA,50001
ACME,MI,49610
ACME,WA,98220
ACRA,NY,12405
ACTON,MA,1720
ACTON,MT,59002
ACWORTH,GA,30101
ACWORTH,NH,3601
ADA,MI,49355
ADA,MI,49357
ADA,OH,45810
ADA,OK,74821
ADAIR,IA,50002
ADAIR,OK,74330
ADAIRVILLE,KY,42202
ADAMANT,VT,5640
ADAMS,MA,1220
ADAMS,ND,58210
ADAMS,NY,13605
ADAMS,OR,97810
ADAMS,WI,53910
ADAMS CENTER,NY,13606
ADAMSBURG,PA,15611
ADAMSTOWN,PA,19501
ADAMSVILLE,OH,43802
ADAMSVILLE,RI,2801
ADDIEVILLE,IL,62214
ADDIS,LA,70710
ADDISON,IL,60101
ADDISON,MI,49220
ADDISON,PA,15411
ADDY,WA,99101
ADEL,GA,31620
ADEL,OR,97620
ADELL,WI,53001
ADELPHIA,NJ,7710
ADGER,AL,35006
ADIRONDACK,NY,12808
ADKINS,TX,78101
ADNA,WA,98522
ADOLPHUS,KY,42120
ADRIAN,GA,31002
ADRIAN,MI,49221
ADRIAN,MO,64720
ADRIAN,OR,97901
ADRIAN,TX,79001
ADVANCE,IN,46102
ADVANCE,NC,27006
AFTON,IA,50830
AFTON,MN,55001
AFTON,OK,74331
AFTON,TX,79220
AFTON,WI,53501
AGANA HEIGHTS,GU,96919
AGAT,GU,96928
AGATE,ND,58310
AGENCY,IA,52530
AGENDA,KS,66930
AGNESS,OR,97406
AGOURA HILLS,CA,91376
AGRA,OK,74824
AGUADA,PR,602
AGUADILLA,PR,604
AGUANGA,CA,92536
AGUILA,AZ,85320
AGUIRRE,PR,704
AHMEEK,MI,49901
AHSAHKA,ID,83520
AIBONITO,PR,705
AIKEN,SC,29801
AIKEN,SC,29803
AIKEN,SC,29805
AIKEN,TX,79221
AIMWELL,LA,71401
AINSWORTH,NE,69210
AIRWAY HEIGHTS,WA,99001
AJO,AZ,85321
AKELEY,MN,56433
AKIACHAK,AK,99551
AKIN,IL,62805
AKRON,CO,80720
AKRON,IN,46910
AKRON,NY,14001
AKRON,OH,44302
AKRON,OH,44304
AKRON,OH,44306
AKRON,OH,44308
AKRON,OH,44310
AKRON,OH,44312
AKRON,OH,44314
AKRON,OH,44316
AKRON,OH,44319
AKRON,OH,44321
AKRON,OH,44325
AKRON,OH,44328
AKRON,OH,44372
AKRON,OH,44396
AKRON,OH,44398
AKRON,PA,17501
ALABAMA,NY,14003
ALACHUA,FL,32615
ALADDIN,WY,82710
ALAMANCE,NC,27201
ALAMEDA,CA,94502
ALAMO,GA,30411
ALAMO,ND,58830
ALAMO,TN,38001
ALAMOGORDO,NM,88310
ALAMOSA,CO,81101
ALANREED,TX,79002
ALAPAHA,GA,31622
ALBA,MO,64830
ALBA,TX,75410
ALBANY,GA,31701
ALBANY,GA,31703
ALBANY,GA,31705
ALBANY,GA,31707
ALBANY,IL,61230
ALBANY,KY,42602
ALBANY,MN,56307
ALBANY,NY,12201
ALBANY,NY,12203
ALBANY,NY,12205
ALBANY,NY,12207
ALBANY,NY,12209
ALBANY,NY,12211
ALBANY,NY,12214
ALBANY,NY,12222
ALBANY,NY,12224
ALBANY,NY,12226
ALBANY,NY,12228
ALBANY,NY,12230
ALBANY,NY,12232
ALBANY,NY,12234
ALBANY,NY,12236
ALBANY,NY,12238
ALBANY,NY,12240
ALBANY,NY,12242
ALBANY,NY,12244
ALBANY,NY,12246
ALBANY,NY,12248
ALBANY,NY,12250
ALBANY,NY,12255
ALBANY,NY,12257
ALBANY,NY,12261
ALBANY,NY,12288
ALBANY,OK,74721
ALBANY,TX,76430
ALBANY,WI,53502
ALBEMARLE,NC,28002
ALBERT,KS,67511
ALBERT CITY,IA,50510
ALBERTA,AL,36720
ALBERTA,VA,23821
ALBERTSON,NC,28508
ALBERTVILLE,AL,35950
ALBERTVILLE,MN,55301
ALBIN,WY,82050
ALBION,IA,50005
ALBION,IL,62806
ALBION,ME,4910
ALBION,NE,68620
ALBION,OK,74521
ALBION,PA,16475
ALBION,WA,99102
ALBRIGHT,WV,26519
ALBUQUERQUE,NM,87101
ALBUQUERQUE,NM,87103
ALBUQUERQUE,NM,87105
ALBUQUERQUE,NM,87107
ALBUQUERQUE,NM,87109
ALBUQUERQUE,NM,87111
ALBUQUERQUE,NM,87113
ALBUQUERQUE,NM,87115
ALBUQUERQUE,NM,87118
ALBUQUERQUE,NM,87120
ALBUQUERQUE,NM,87122
ALBUQUERQUE,NM,87125
ALBUQUERQUE,NM,87153
ALBUQUERQUE,NM,87158
ALBUQUERQUE,NM,87181
ALBUQUERQUE,NM,87185
ALBUQUERQUE,NM,87190
ALBUQUERQUE,NM,87192
ALBUQUERQUE,NM,87194
ALBUQUERQUE,NM,87196
ALBUQUERQUE,NM,87198
ALBUQUERQUE,NM,87201
ALBURNETT,IA,52202
ALCALDE,NM,87511
ALCO,AR,72610
ALCOLU,SC,29001
ALCOVE,NY,12007
ALDEN,IA,50006
ALDEN,KS,67512
ALDEN,MN,56009
ALDENVILLE,PA,18401
ALDER CREEK,NY,13301
ALDERSON,OK,74522
ALDIE,VA,20105
ALDRICH,MO,65601
ALEDO,TX,76008
ALEPPO,PA,15310
ALEXANDER,AR,72002
ALEXANDER,IL,62601
ALEXANDER,NC,28701
ALEXANDER,NY,14005
ALEXANDER CITY,AL,35011
ALEXANDRIA,IN,46001
ALEXANDRIA,LA,71301
ALEXANDRIA,LA,71303
ALEXANDRIA,LA,71307
ALEXANDRIA,LA,71315
ALEXANDRIA,MO,63430
ALEXANDRIA,OH,43001
ALEXANDRIA,SD,57311
ALEXANDRIA,VA,22301
ALEXANDRIA,VA,22303
ALEXANDRIA,VA,22305
ALEXANDRIA,VA,22307
ALEXANDRIA,VA,22309
ALEXANDRIA,VA,22311
ALEXANDRIA,VA,22313
ALEXANDRIA,VA,22315
ALEXANDRIA,VA,22321
ALEXANDRIA,VA,22332
ALEXANDRIA,VA,22334
ALEXANDRIA BAY,NY,13607
ALEXIS,NC,28006
ALFRED,ME,4002
ALFRED STATION,NY,14803
ALGER,OH,45812
ALGOMA,MS,38820
