StrField;NumField;DatField;IntField
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
This is a text; 00001234,50;2005/05/26 12:34:56.000; 9876
I changed this; 00000009,87;2005/05/26 21:01:23.000; 1234
